#1.000E-03 = radius(micron) D16 graphite with eff. medium theory (MG EMT)
#w(micron)   Q_ext     Q_abs     Q_sca    g=<cos>   <cos^2>
7.4817E+03 3.658E-09 3.658E-09 1.326E-24  0.00E+00 4.000E-01
7.4473E+03 3.691E-09 3.691E-09 1.351E-24  0.00E+00 4.000E-01
7.4131E+03 3.726E-09 3.726E-09 1.376E-24  0.00E+00 4.000E-01
7.3790E+03 3.760E-09 3.760E-09 1.402E-24  0.00E+00 4.000E-01
7.3451E+03 3.795E-09 3.795E-09 1.428E-24  0.00E+00 4.000E-01
7.3114E+03 3.830E-09 3.830E-09 1.454E-24  0.00E+00 4.000E-01
7.2778E+03 3.865E-09 3.865E-09 1.481E-24  0.00E+00 4.000E-01
7.2444E+03 3.901E-09 3.901E-09 1.509E-24  0.00E+00 4.000E-01
7.2111E+03 3.937E-09 3.937E-09 1.537E-24  0.00E+00 4.000E-01
7.1779E+03 3.974E-09 3.974E-09 1.566E-24  0.00E+00 4.000E-01
7.1450E+03 4.010E-09 4.010E-09 1.595E-24  0.00E+00 4.000E-01
7.1121E+03 4.048E-09 4.048E-09 1.624E-24  0.00E+00 4.000E-01
7.0795E+03 4.085E-09 4.085E-09 1.655E-24  0.00E+00 4.000E-01
7.0469E+03 4.123E-09 4.123E-09 1.685E-24  0.00E+00 4.000E-01
7.0146E+03 4.161E-09 4.161E-09 1.717E-24  0.00E+00 4.000E-01
6.9823E+03 4.199E-09 4.199E-09 1.749E-24  0.00E+00 4.000E-01
6.9502E+03 4.238E-09 4.238E-09 1.781E-24  0.00E+00 4.000E-01
6.9183E+03 4.277E-09 4.277E-09 1.814E-24  0.00E+00 4.000E-01
6.8865E+03 4.317E-09 4.317E-09 1.848E-24  0.00E+00 4.000E-01
6.8549E+03 4.357E-09 4.357E-09 1.882E-24  0.00E+00 4.000E-01
6.8234E+03 4.397E-09 4.397E-09 1.917E-24  0.00E+00 4.000E-01
6.7920E+03 4.438E-09 4.438E-09 1.953E-24  0.00E+00 4.000E-01
6.7608E+03 4.479E-09 4.479E-09 1.989E-24  0.00E+00 4.000E-01
6.7298E+03 4.520E-09 4.520E-09 2.026E-24  0.00E+00 4.000E-01
6.6988E+03 4.562E-09 4.562E-09 2.064E-24  0.00E+00 4.000E-01
6.6681E+03 4.604E-09 4.604E-09 2.102E-24  0.00E+00 4.000E-01
6.6374E+03 4.647E-09 4.647E-09 2.141E-24  0.00E+00 4.000E-01
6.6069E+03 4.690E-09 4.690E-09 2.181E-24  0.00E+00 4.000E-01
6.5766E+03 4.733E-09 4.733E-09 2.222E-24  0.00E+00 4.000E-01
6.5464E+03 4.777E-09 4.777E-09 2.263E-24  0.00E+00 4.000E-01
6.5163E+03 4.821E-09 4.821E-09 2.305E-24  0.00E+00 4.000E-01
6.4863E+03 4.866E-09 4.866E-09 2.348E-24  0.00E+00 4.000E-01
6.4565E+03 4.911E-09 4.911E-09 2.392E-24  0.00E+00 4.000E-01
6.4269E+03 4.957E-09 4.957E-09 2.436E-24  0.00E+00 4.000E-01
6.3973E+03 5.002E-09 5.002E-09 2.481E-24  0.00E+00 4.000E-01
6.3680E+03 5.049E-09 5.049E-09 2.527E-24  0.00E+00 4.000E-01
6.3387E+03 5.095E-09 5.095E-09 2.574E-24  0.00E+00 4.000E-01
6.3096E+03 5.142E-09 5.142E-09 2.622E-24  0.00E+00 4.000E-01
6.2806E+03 5.190E-09 5.190E-09 2.671E-24  0.00E+00 4.000E-01
6.2517E+03 5.238E-09 5.238E-09 2.721E-24  0.00E+00 4.000E-01
6.2230E+03 5.287E-09 5.287E-09 2.771E-24  0.00E+00 4.000E-01
6.1944E+03 5.335E-09 5.335E-09 2.823E-24  0.00E+00 4.000E-01
6.1659E+03 5.385E-09 5.385E-09 2.875E-24  0.00E+00 4.000E-01
6.1376E+03 5.435E-09 5.435E-09 2.929E-24  0.00E+00 4.000E-01
6.1094E+03 5.485E-09 5.485E-09 2.983E-24  0.00E+00 4.000E-01
6.0813E+03 5.536E-09 5.536E-09 3.039E-24  0.00E+00 4.000E-01
6.0534E+03 5.587E-09 5.587E-09 3.095E-24  0.00E+00 4.000E-01
6.0256E+03 5.639E-09 5.639E-09 3.153E-24  0.00E+00 4.000E-01
5.9979E+03 5.691E-09 5.691E-09 3.211E-24  0.00E+00 4.000E-01
5.9704E+03 5.743E-09 5.743E-09 3.271E-24  0.00E+00 4.000E-01
5.9429E+03 5.796E-09 5.796E-09 3.332E-24  0.00E+00 4.000E-01
5.9156E+03 5.850E-09 5.850E-09 3.394E-24  0.00E+00 4.000E-01
5.8884E+03 5.904E-09 5.904E-09 3.457E-24  0.00E+00 4.000E-01
5.8614E+03 5.959E-09 5.959E-09 3.521E-24  0.00E+00 4.000E-01
5.8345E+03 6.014E-09 6.014E-09 3.587E-24  0.00E+00 4.000E-01
5.8076E+03 6.070E-09 6.070E-09 3.653E-24  0.00E+00 4.000E-01
5.7810E+03 6.126E-09 6.126E-09 3.721E-24  0.00E+00 4.000E-01
5.7544E+03 6.182E-09 6.182E-09 3.790E-24  0.00E+00 4.000E-01
5.7280E+03 6.240E-09 6.240E-09 3.861E-24  0.00E+00 4.000E-01
5.7016E+03 6.297E-09 6.297E-09 3.933E-24  0.00E+00 4.000E-01
5.6754E+03 6.356E-09 6.356E-09 4.006E-24  0.00E+00 4.000E-01
5.6494E+03 6.414E-09 6.414E-09 4.080E-24  0.00E+00 4.000E-01
5.6234E+03 6.474E-09 6.474E-09 4.156E-24  0.00E+00 4.000E-01
5.5976E+03 6.534E-09 6.534E-09 4.233E-24  0.00E+00 4.000E-01
5.5719E+03 6.594E-09 6.594E-09 4.312E-24  0.00E+00 4.000E-01
5.5463E+03 6.655E-09 6.655E-09 4.392E-24  0.00E+00 4.000E-01
5.5208E+03 6.717E-09 6.717E-09 4.474E-24  0.00E+00 4.000E-01
5.4954E+03 6.779E-09 6.779E-09 4.557E-24  0.00E+00 4.000E-01
5.4702E+03 6.841E-09 6.841E-09 4.642E-24  0.00E+00 4.000E-01
5.4450E+03 6.905E-09 6.905E-09 4.728E-24  0.00E+00 4.000E-01
5.4200E+03 6.969E-09 6.969E-09 4.816E-24  0.00E+00 4.000E-01
